Symbol,Dividend_Yield,Dividend_Bool
ABM,1.99,FALSE
ADM,3.92,TRUE
ADP,2.08,TRUE
AFL,2.19,TRUE
ALB,1.72,FALSE
ALRS,4.13,TRUE
ANDE,1.77,FALSE
AOS,1.9,FALSE
APD,2.27,TRUE
AROW,4.11,TRUE
ATO,2.4,TRUE
ATR,1.15,FALSE
AWR,2.47,TRUE
BANF,1.55,FALSE
BDX,1.76,FALSE
BEN,6.6,TRUE
BKH,4.4,TRUE
BMI,0.64,FALSE
BRC,1.3,FALSE
BRO,0.57,FALSE
CAH,1.59,FALSE
CASY,0.51,FALSE
CAT,1.48,FALSE
CB,1.33,FALSE
CBSH,1.69,FALSE
CBU,2.94,TRUE
CFR,2.71,TRUE
CHD,1.07,FALSE
CHRW,2.42,TRUE
CINF,2.27,TRUE
CL,2.26,TRUE
CLX,3.04,TRUE
CNI,2.34,TRUE
CSL,1.01,FALSE
CTAS,0.79,FALSE
CTBI,3.54,TRUE
CVX,4.09,TRUE
CWT,2.5,TRUE
DCI,1.54,FALSE
DOV,1.06,FALSE
EBTC,2.4,TRUE
ECL,1.09,FALSE
ED,3.6,TRUE
EMR,1.71,FALSE
ENB,5.9,TRUE
EPD,6.36,TRUE
ERIE,1.35,FALSE
ES,4.92,TRUE
ESS,3.45,TRUE
EXPD,1.31,FALSE
FAST,2.09,TRUE
FDS,0.9,FALSE
FELE,1.02,FALSE
FRT,4.17,TRUE
FUL,1.43,FALSE
GD,2.11,TRUE
GGG,1.29,FALSE
GPC,3.35,TRUE
GWW,0.74,FALSE
HRL,3.88,TRUE
IBM,3.0,TRUE
ITW,2.34,TRUE
JKHY,1.28,FALSE
JNJ,3.36,TRUE
KMB,3.85,TRUE
KO,3.12,TRUE
LANC,2.23,TRUE
LECO,1.55,FALSE
LIN,1.29,FALSE
LOW,1.78,FALSE
MATW,3.19,TRUE
MCD,2.53,TRUE
MDT,3.21,TRUE
MGEE,1.92,FALSE
MGRC,1.6,FALSE
MKC,2.44,TRUE
MO,7.97,TRUE
MSA,1.24,FALSE
NDSN,1.46,FALSE
NEE,2.89,TRUE
NFG,3.03,TRUE
NJR,3.8,TRUE
NNN,5.81,TRUE
NUE,1.78,FALSE
NWFL,4.78,TRUE
NWN,4.88,TRUE
O,5.8,TRUE
ORI,2.94,TRUE
OZK,3.71,TRUE
PB,2.98,TRUE
PEP,3.7,TRUE
PG,2.51,TRUE
PH,0.99,FALSE
PII,4.61,TRUE
PPG,2.27,TRUE
RGCO,4.05,TRUE
RLI,0.19,FALSE
RNR,0.61,FALSE
ROP,0.64,FALSE
RPM,1.61,FALSE
RTX,2.09,TRUE
SBSI,4.53,TRUE
SCL,2.42,TRUE
SEIC,1.18,FALSE
SHW,0.81,FALSE
SJM,4.21,TRUE
SJW,3.33,TRUE
SON,4.37,TRUE
SPGI,0.72,FALSE
SRCE,2.5,TRUE
SWK,3.91,TRUE
SYK,0.88,FALSE
SYY,2.79,TRUE
TGT,3.36,TRUE
THFF,4.42,TRUE
TMP,3.72,TRUE
TNC,1.4,FALSE
TR,1.15,FALSE
TROW,4.42,TRUE
UBSI,3.88,TRUE
UGI,5.0,TRUE
UHT,7.81,TRUE
UMBF,1.36,FALSE
UVV,6.4,TRUE
WABC,3.43,TRUE
WLY,3.23,TRUE
WLYB,3.28,TRUE
WMT,0.91,FALSE
WST,0.25,FALSE
WTRG,3.71,TRUE
XOM,3.56,TRUE
YORW,2.78,TRUE
