"Index","Symbol","Dividend_Date","Increase_Num","Increase_Year","Price_Date","Timeframe","Open","High","Low","Close"
"1","ABM",2024-01-03,1,2024,2024-01-02,"Before",44.560001373291,44.9500007629395,44.310001373291,44.5499992370605
"2","ABM",2024-01-03,1,2024,2024-01-03,"During",44.2999992370605,44.3499984741211,43.3899993896484,43.4000015258789
"3","ABM",2024-01-03,1,2024,2024-01-04,"After",43.7200012207031,43.7200012207031,43.2099990844727,43.2999992370605
"4","ABM",2023-01-04,2,2023,2023-01-03,"Before",44.7099990844727,45.1699981689453,44.2099990844727,44.9000015258789
"5","ABM",2023-01-04,2,2023,2023-01-04,"During",45.1199989318848,45.560001373291,44.7999992370605,44.9700012207031
"6","ABM",2023-01-04,2,2023,2023-01-05,"After",44.9700012207031,45.6800003051758,44.4799995422363,45.6199989318848
"7","ABM",2022-01-05,3,2022,2022-01-04,"Before",41.1199989318848,42.2900009155273,41.1199989318848,41.8499984741211
"8","ABM",2022-01-05,3,2022,2022-01-05,"During",41.8499984741211,43.1199989318848,41.4700012207031,42.7599983215332
"9","ABM",2022-01-05,3,2022,2022-01-06,"After",42.8600006103516,43.75,42.3699989318848,42.4700012207031
"10","ABM",2021-01-06,4,2021,2021-01-05,"Before",36.939998626709,38.5299987792969,36.939998626709,38.189998626709
"11","ABM",2021-01-06,4,2021,2021-01-06,"During",38.439998626709,41.6699981689453,38.2200012207031,41.1100006103516
"12","ABM",2021-01-06,4,2021,2021-01-07,"After",41.1500015258789,41.310001373291,40.3899993896484,41.1300010681152
"13","ABM",2019-12-31,5,2019,2019-12-30,"Before",38.5,38.5800018310547,38.2000007629395,38.3699989318848
"14","ABM",2019-12-31,5,2019,2019-12-31,"During",38.1199989318848,38.3199996948242,37.5400009155273,37.7099990844727
"15","ABM",2019-12-31,5,2019,2020-01-02,"After",37.8899993896484,38.4799995422363,37.8400001525879,38.4199981689453
"16","ADM",2024-02-07,1,2024,2024-02-06,"Before",53.0299987792969,54.0200004577637,52.8199996948242,53.3699989318848
"17","ADM",2024-02-07,1,2024,2024-02-07,"During",52.6300010681152,53.1699981689453,52.2799987792969,52.8800010681152
"18","ADM",2024-02-07,1,2024,2024-02-08,"After",52.9000015258789,53.0400009155273,52.3199996948242,52.7000007629395
"19","ADM",2023-02-08,2,2023,2023-02-07,"Before",82.3499984741211,82.75,81.7099990844727,82.6600036621094
"20","ADM",2023-02-08,2,2023,2023-02-08,"During",81.9899978637695,82.9899978637695,81.2200012207031,81.5999984741211
"21","ADM",2023-02-08,2,2023,2023-02-09,"After",81.7399978637695,86.1399993896484,80.3000030517578,80.5999984741211
"22","ADM",2022-02-07,3,2022,2022-02-04,"Before",75.9599990844727,76.2900009155273,74.6100006103516,75.7099990844727
"23","ADM",2022-02-07,3,2022,2022-02-07,"During",75.9100036621094,76.2900009155273,75.2699966430664,75.9800033569336
"24","ADM",2022-02-07,3,2022,2022-02-08,"After",76.3000030517578,77.0999984741211,75.9800033569336,76.6900024414062
"25","ADM",2021-02-08,4,2021,2021-02-05,"Before",53.0299987792969,53.310001373291,52.6800003051758,53.2999992370605
"26","ADM",2021-02-08,4,2021,2021-02-08,"During",53.2999992370605,53.8199996948242,53.1399993896484,53.6500015258789
"27","ADM",2021-02-08,4,2021,2021-02-09,"After",53.75,54.7000007629395,53.3699989318848,54.4799995422363
"28","ADM",2020-02-12,5,2020,2020-02-11,"Before",45.9000015258789,46.5099983215332,45.7299995422363,46.1199989318848
"29","ADM",2020-02-12,5,2020,2020-02-12,"During",45.9500007629395,46.1699981689453,45.5900001525879,45.6100006103516
"30","ADM",2020-02-12,5,2020,2020-02-13,"After",45.4199981689453,45.6300010681152,45.0200004577637,45.2700004577637
"31","ADP",2024-12-13,1,2024,2024-12-12,"Before",300.940002441406,302,297.480010986328,298.75
"32","ADP",2024-12-13,1,2024,2024-12-13,"During",296.410003662109,298.179992675781,295.690002441406,296.760009765625
"33","ADP",2024-12-13,1,2024,2024-12-16,"After",298,298.459991455078,295.940002441406,296.809997558594
"34","ADP",2023-12-07,2,2023,2023-12-06,"Before",232.190002441406,232.990005493164,230.229995727539,232.350006103516
"35","ADP",2023-12-07,2,2023,2023-12-07,"During",231.5,232.720001220703,229.399993896484,229.990005493164
"36","ADP",2023-12-07,2,2023,2023-12-08,"After",229.190002441406,232.589996337891,228.270004272461,229.270004272461
"37","ADP",2022-12-08,3,2022,2022-12-07,"Before",259.230010986328,259.809997558594,257.329986572266,259.220001220703
"38","ADP",2022-12-08,3,2022,2022-12-08,"During",258.369995117188,261.019989013672,258.200012207031,260.049987792969
"39","ADP",2022-12-08,3,2022,2022-12-09,"After",260.170013427734,260.380004882812,256.950012207031,257.200012207031
"40","ADP",2021-12-09,4,2021,2021-12-08,"Before",233.270004272461,235.649993896484,232.199996948242,234.300003051758
"41","ADP",2021-12-09,4,2021,2021-12-09,"During",233.259994506836,233.910003662109,231.589996337891,232.740005493164
"42","ADP",2021-12-09,4,2021,2021-12-10,"After",234.039993286133,236.860000610352,233.449996948242,236.729995727539
"43","ADP",2020-12-10,5,2020,2020-12-09,"Before",175.119995117188,175.169998168945,172.770004272461,173.839996337891
"44","ADP",2020-12-10,5,2020,2020-12-10,"During",172.720001220703,172.850006103516,171.210006713867,172
"45","ADP",2020-12-10,5,2020,2020-12-11,"After",171.429992675781,173.679992675781,171.080001831055,173.529998779297
"46","AFL",2024-02-20,1,2024,2024-02-16,"Before",79.9100036621094,80.2799987792969,79.3499984741211,79.379997253418
"47","AFL",2024-02-20,1,2024,2024-02-20,"During",78.4300003051758,79.4199981689453,78.379997253418,78.7799987792969
"48","AFL",2024-02-20,1,2024,2024-02-21,"After",79.2799987792969,79.620002746582,78.5999984741211,79.2600021362305
"49","AFL",2023-02-14,2,2023,2023-02-13,"Before",69.8099975585938,71.129997253418,69.5999984741211,71.0100021362305
"50","AFL",2023-02-14,2,2023,2023-02-14,"During",70.3600006103516,70.5899963378906,69.1699981689453,69.2099990844727
"51","AFL",2023-02-14,2,2023,2023-02-15,"After",68.8399963378906,69.3199996948242,68.6100006103516,69.2699966430664
"52","AFL",2022-02-15,3,2022,2022-02-14,"Before",65.120002746582,65.5899963378906,63.7099990844727,64.2200012207031
"53","AFL",2022-02-15,3,2022,2022-02-15,"During",64.5,65.0400009155273,64.3399963378906,64.5599975585938
"54","AFL",2022-02-15,3,2022,2022-02-16,"After",64.2300033569336,64.8600006103516,63.9599990844727,64.5199966430664
"55","AFL",2021-02-16,4,2021,2021-02-12,"Before",46.6800003051758,47.3600006103516,46.4599990844727,46.9199981689453
"56","AFL",2021-02-16,4,2021,2021-02-16,"During",46.5499992370605,47.0499992370605,46.3499984741211,46.3499984741211
"57","AFL",2021-02-16,4,2021,2021-02-17,"After",46.25,47.1399993896484,46.1300010681152,47.0400009155273
"58","AFL",2020-02-18,5,2020,2020-02-14,"Before",52.5,52.8199996948242,52.4000015258789,52.810001373291
"59","AFL",2020-02-18,5,2020,2020-02-18,"During",52.4000015258789,52.5,51.7400016784668,51.8800010681152
"60","AFL",2020-02-18,5,2020,2020-02-19,"After",51.9199981689453,51.9500007629395,51.5499992370605,51.5499992370605
"61","ALB",2024-09-13,1,2024,2024-09-12,"Before",89.3000030517578,89.870002746582,86.7399978637695,88.5
"62","ALB",2024-09-13,1,2024,2024-09-13,"During",88.9000015258789,89.8099975585938,85.870002746582,87.4400024414062
"63","ALB",2024-09-13,1,2024,2024-09-16,"After",87.9899978637695,90.120002746582,86.9700012207031,89.3499984741211
"64","ALB",2023-03-16,2,2023,2023-03-15,"Before",218.009994506836,219.279998779297,210.100006103516,214.399993896484
"65","ALB",2023-03-16,2,2023,2023-03-16,"During",212.679992675781,215.460006713867,207.270004272461,214.610000610352
"66","ALB",2023-03-16,2,2023,2023-03-17,"After",213.190002441406,213.190002441406,206.639999389648,208.490005493164
"67","ALB",2022-03-17,3,2022,2022-03-16,"Before",185.869995117188,193.979995727539,185.759994506836,191.25
"68","ALB",2022-03-17,3,2022,2022-03-17,"During",187.839996337891,196.600006103516,187.839996337891,196.369995117188
"69","ALB",2022-03-17,3,2022,2022-03-18,"After",196.649993896484,199.070007324219,194.649993896484,198.240005493164
"70","ALB",2021-03-11,4,2021,2021-03-10,"Before",150,156.309997558594,149.139999389648,152.300003051758
"71","ALB",2021-03-11,4,2021,2021-03-11,"During",156.300003051758,162,154.240005493164,161.270004272461
"72","ALB",2021-03-11,4,2021,2021-03-12,"After",160.059997558594,161.929992675781,155.850006103516,157.279998779297
"73","ALB",2020-03-12,5,2020,2020-03-11,"Before",73.379997253418,73.379997253418,69.0599975585938,70.0699996948242
"74","ALB",2020-03-12,5,2020,2020-03-12,"During",63.9700012207031,68.5599975585938,60.5699996948242,64.7900009155273
"75","ALB",2020-03-12,5,2020,2020-03-13,"After",69.4599990844727,69.7799987792969,62.1199989318848,68.0100021362305
