Symbol,Increase_Bool
ABM,FALSE
ADM,TRUE
ADP,FALSE
AFL,FALSE
ALB,FALSE
ALRS,FALSE
ANDE,TRUE
AOS,TRUE
APD,TRUE
AROW,FALSE
ATO,FALSE
ATR,FALSE
AWR,FALSE
BANF,FALSE
BDX,TRUE
BEN,FALSE
BKH,TRUE
BMI,FALSE
BRC,FALSE
BRO,TRUE
CAH,FALSE
CASY,FALSE
CAT,FALSE
CB,FALSE
CBSH,TRUE
CBU,FALSE
CFR,FALSE
CHD,FALSE
CHRW,FALSE
CINF,FALSE
CL,TRUE
CLX,FALSE
CNI,FALSE
CSL,FALSE
CTAS,FALSE
CTBI,FALSE
CVX,FALSE
CWT,TRUE
DCI,FALSE
DOV,FALSE
EBTC,FALSE
ECL,TRUE
ED,FALSE
EMR,FALSE
ENB,FALSE
EPD,FALSE
ERIE,TRUE
ES,FALSE
ESS,FALSE
EXPD,FALSE
FAST,TRUE
FDS,FALSE
FELE,TRUE
FRT,FALSE
FUL,FALSE
GD,FALSE
GGG,FALSE
GPC,FALSE
GWW,FALSE
HRL,FALSE
IBM,FALSE
ITW,FALSE
JKHY,FALSE
JNJ,FALSE
KMB,TRUE
KO,FALSE
LANC,FALSE
LECO,FALSE
LIN,FALSE
LOW,FALSE
MATW,FALSE
MCD,FALSE
MDT,FALSE
MGEE,FALSE
MGRC,FALSE
MKC,FALSE
MO,FALSE
MSA,TRUE
NDSN,FALSE
NEE,FALSE
NFG,FALSE
NJR,FALSE
NNN,FALSE
NUE,FALSE
NWFL,FALSE
NWN,FALSE
O,FALSE
ORI,FALSE
OZK,FALSE
PB,FALSE
PEP,FALSE
PG,FALSE
PH,FALSE
PII,TRUE
PPG,TRUE
RGCO,FALSE
RLI,FALSE
RNR,FALSE
ROP,TRUE
RPM,TRUE
RTX,FALSE
SBSI,FALSE
SCL,FALSE
SEIC,FALSE
SHW,FALSE
SJM,FALSE
SJW,FALSE
SON,FALSE
SPGI,FALSE
SRCE,FALSE
SWK,FALSE
SYK,TRUE
SYY,FALSE
TGT,TRUE
THFF,FALSE
TMP,FALSE
TNC,FALSE
TR,FALSE
TROW,FALSE
UBSI,FALSE
UGI,FALSE
UHT,FALSE
UMBF,TRUE
UVV,FALSE
WABC,FALSE
WLY,FALSE
WLYB,FALSE
WMT,FALSE
WST,TRUE
WTRG,FALSE
XOM,FALSE
YORW,FALSE
